,Pairs,Follows,Followed_by
401,"('zephs_mom', 'ProfOmarMath')",False,False
402,"('zephs_mom', 'Eliot_Bush')",False,False
403,"('zephs_mom', 'rsourspa')",,
404,"('zephs_mom', 'briposadas')",False,False
405,"('zephs_mom', 'elizjohansen')",False,False
406,"('zephs_mom', 'mattspencer_ee')",False,False
407,"('zephs_mom', 'XandaSchofield')",False,False
408,"('zephs_mom', 'stldenbroncofan')",False,False
409,"('zephs_mom', 'ohmaimy')",False,False
410,"('zephs_mom', 'PITraders')",False,False
411,"('zephs_mom', 'HMCDOS')",False,False
412,"('zephs_mom', 'BlaineHackman')",,
413,"('zephs_mom', 'hmcen_official')",True,False
414,"('zephs_mom', 'DaringRant')",False,False
415,"('zephs_mom', 'abby_korth')",,
416,"('zephs_mom', 'caitlin_vierra')",,
417,"('zephs_mom', 'rf_mehlinger')",False,False
418,"('zephs_mom', 'tony1athome')",False,False
419,"('zephs_mom', 'vanessareality')",False,False
420,"('zephs_mom', 'jtamm7')",,
421,"('zephs_mom', 'gavmdr')",False,False
422,"('zephs_mom', 'equan430')",False,False
423,"('zephs_mom', 'terribletasman')",False,False
424,"('zephs_mom', 'hocherie1')",False,False
425,"('zephs_mom', 'jkim720')",,
426,"('zephs_mom', 'InqHmc')",False,False
427,"('zephs_mom', 'claremontind')",False,False
428,"('zephs_mom', 'cmcforum')",False,False
429,"('zephs_mom', 'KGIpres')",False,False
430,"('zephs_mom', 'KeckGrad')",False,False
431,"('zephs_mom', 'hkbyoung')",False,False
432,"('zephs_mom', 'macavity42')",False,False
433,"('zephs_mom', 'JackRNewhouse')",False,False
434,"('zephs_mom', 'everner')",False,False
435,"('zephs_mom', 'raunak_pednekar')",False,False
436,"('zephs_mom', 'leslieforrrestr')",False,False
437,"('zephs_mom', 'hmcicecreambike')",False,False
438,"('zephs_mom', 'rdchambers')",False,False
439,"('zephs_mom', 'Craigni')",False,False
440,"('zephs_mom', 'LucidLunatic')",False,False
441,"('zephs_mom', 'EvanHub')",False,False
442,"('zephs_mom', 'HEKS86')",False,False
443,"('zephs_mom', 'elsweato')",False,False
444,"('zephs_mom', 'StephenBlankley')",False,False
445,"('zephs_mom', 'SoniaMinassian')",False,False
446,"('zephs_mom', 'stephani_shusta')",False,False
447,"('zephs_mom', 'moniebalogna')",False,False
448,"('zephs_mom', 'susanna_todaro')",,
449,"('zephs_mom', 'gmcredo1')",False,False
450,"('zephs_mom', 'EvannRamona')",False,False
451,"('zephs_mom', 'jonessurgery')",False,False
452,"('zephs_mom', 'FinalFrog')",,
453,"('zephs_mom', 'MsKretsch')",False,False
454,"('zephs_mom', 'gharrettwong')",,
455,"('zephs_mom', 'steuard')",False,False
456,"('zephs_mom', 'Aerathil')",False,False
457,"('zephs_mom', 'aocole')",,
458,"('zephs_mom', 'carlosdavis')",False,False
459,"('zephs_mom', 'mentaikosupaget')",False,False
460,"('zephs_mom', 'pboothe')",,
461,"('zephs_mom', 'jtbandes')",False,False
462,"('zephs_mom', 'yogurtearl')",False,False
463,"('zephs_mom', 'haaksmash')",,
464,"('zephs_mom', 'angusho')",False,False
465,"('zephs_mom', 'gdarklighter')",False,False
466,"('zephs_mom', 'emalminator')",False,False
467,"('zephs_mom', 'danwr')",False,False
468,"('zephs_mom', 'Kevin_Hainline')",False,False
469,"('zephs_mom', 'djtrindle')",,
470,"('zephs_mom', 'ekayfoli')",False,False
471,"('zephs_mom', 'dyong')",False,False
472,"('zephs_mom', 'mtauraso')",False,False
473,"('zephs_mom', 'eriksowa')",False,False
474,"('zephs_mom', 'siapplebaum')",False,False
475,"('zephs_mom', 'schimonster')",False,False
476,"('zephs_mom', 'MikePricePhD')",False,False
477,"('zephs_mom', 'jessibythebay')",False,False
478,"('zephs_mom', 'jtspender')",False,False
479,"('zephs_mom', 'drmorr0')",False,False
480,"('zephs_mom', 'dorianscrima')",False,False
481,"('zephs_mom', 'jeffreydrummond')",False,False
482,"('zephs_mom', 'blampin')",,
483,"('zephs_mom', 'franceshocutt')",,
484,"('zephs_mom', 'MoreLuckey')",False,False
485,"('SParkingCareers', 'erikawdyson')",True,True
486,"('SParkingCareers', 'hamhatch')",False,False
487,"('SParkingCareers', 'dagan_karp')",False,False
488,"('SParkingCareers', 'MatinaDonaldson')",True,True
489,"('SParkingCareers', 'KarlHaus')",False,False
490,"('SParkingCareers', 'HaydeeLindo')",True,True
491,"('SParkingCareers', 'ProfStoebel')",True,False
492,"('SParkingCareers', 'themuddraker')",True,True
493,"('SParkingCareers', 'hmc_dsa')",True,True
494,"('SParkingCareers', 'HarveyMuddOCE')",True,True
495,"('SParkingCareers', 'ProfOmarMath')",True,True
